# Generated at Thu Dec 20 2018 08:33:50 GMT+0100 (Central European Standard Time)
# URL: https://metaspace2020.eu/annotations?ds=2018-06-26_15h33m47s&page=1&sort=-msm
"group","datasetName","datasetId","formula","adduct","mz","msm","fdr","rhoSpatial","rhoSpectral","rhoChaos","moleculeNames","moleculeIds"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C5H13NO","M+H","104.10695125566524","0.857043","0.05","0.861606","0.995696","0.999004","Neurine","HMDB0031259"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C15H18N2O3","M+Na","297.12092429366385","0.83756","0.05","0.844156","0.992943","0.999238","Imazamethabenz","HMDB0034885"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C11H6O3","M+H","187.03893126166386","0.83551","0.05","0.844156","0.99197","0.99777","Angelicin, Psoralen","HMDB0033930, HMDB0034272"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H7N","M+H","130.06508644366383","0.823844","0.05","0.83326","0.989484","0.999207","3-Methylene-indolenine, Quinoline, Isoquinoline","HMDB0011664, HMDB0033731, HMDB0034244"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C6H15N","M+H","102.12768669966525","0.820246","0.05","0.828147","0.991153","0.999301","Hexylamine, Triethylamine","HMDB0032323, HMDB0032539"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H11N","M+H","170.09638657166383","0.810779","0.05","0.822038","0.98745","0.99884","Diphenylamine, 4-Aminobiphenyl","HMDB0032562, HMDB0013195"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H9NO4","M+Na","230.04233961566385","0.810343","0.05","0.817937","0.991895","0.998812","4-(2-Aminophenyl)-2,4-dioxobutanoic acid, 1-Nitro-5,6-dihydroxy-dihydronaphthalene","HMDB0000978, HMDB0060328"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H9NO3","M+H","180.0654803676638","0.808025","0.05","0.811411","0.997525","0.998298","Methyl n-formylanthranilate, 1-(4-Methoxyphenyl)-2-nitroethylene, Hippuric acid, 3-Succinoylpyridine, Adrenochrome","HMDB0032398, HMDB0032595, HMDB0000714, HMDB0000992, HMDB0012884"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H9N","M+H","144.08073650766383","0.805734","0.05","0.816982","0.987083","0.999138","6-Methylquinoline, 2-Aminonaphthalene, Quinaldine","HMDB0033115, HMDB0041802, HMDB0042004"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C7H15O10P","M+H","291.0475203796638","0.800165","0.05","0.820174","0.977846","0.997707","D-Sedoheptulose 7-phosphate, Sedoheptulose 1-phosphate","HMDB0001068, HMDB0060509"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H11NO","M+Na","184.07324581966384","0.790845","0.05","0.809912","0.977468","0.998966","Tryptophanol, (R)-Boschniakine, 1-(2,3-Dihydro-1H-pyrrolizin-5-yl)-2-propen-1-one, 3-[(5-Methyl-2-furanyl)methyl]-1H-pyrrole, 3,4-Dihydro-4-[(5-methyl-2-furanyl)methylene]-2H-pyrrole","HMDB0003447, HMDB0030267, HMDB0040028, HMDB0040042, HMDB0040048"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C16H20N2O","M+H","257.1648004896638","0.777834","0.05","0.810972","0.959529","0.999593","(-)-Fumigaclavine B","HMDB0030201"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H10NO3","M+H","181.07330539966384","0.762462","0.05","0.769138","0.993124","0.998184","Adrenochrome o-semiquinone","HMDB0012883"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C14H12O2","M+H","213.0909668336638","0.758302","0.05","0.780735","0.97498","0.996192","Benzoin, Benzyl Benzoate","HMDB0032039, HMDB0014814"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C11H14O2","M+Na","201.08856152566386","0.730166","0.05","0.74733","0.977708","0.999311","p-Tolyl isobutyrate, 2-Ethoxy-5-(1-propenyl)phenol, Methyleugenol, 5-Phenylvaleric acid, Phenylmethyl 2-methylpropanoate, Phenylmethyl butanoate, 3-Phenylpropyl acetate, 4-(4-Methoxyphenyl)-2-butanone, 2-Phenylethyl propanoate, alpha,alpha-Dimethylphenethyl formate, Methyl 4-phenylbutanoate, 2-Methylphenyl 2-methylpropanoate, 3-(2-Hydroxy-4-methylphenyl)-2-butanone, 1-Phenylethyl propanoate, Osmorhizole, Ethyl 3-phenylpropanoate, Propyl phenylacetate, Isopropyl phenylacetate, 2-Methylpropyl benzoate, Methylisoeugenol, 2-(3-methylbut-2-en-1-yl)benzene-1,3-diol, 2-[(1E)-3-methylbut-1-en-1-yl]benzene-1,3-diol, 1-(4-hydroxyphenyl)pentan-3-one, 4-(3-methylbut-2-en-1-yl)benzene-1,3-diol, 4-(3-methoxyphenyl)butan-2-one, 3-hydroxy-3-methyl-4-phenylbutan-2-one, 4-hydroxy-3-methyl-4-phenylbutan-2-one, 4-(3-hydroxyphenyl)-3-methylbutan-2-one, 4-(4-hydroxyphenyl)-3-methylbutan-2-one, 3-benzyl-4-hydroxybutan-2-one, 1-hydroxy-3-methyl-4-phenylbutan-2-one","HMDB0037708, HMDB0040800, HMDB0031864, HMDB0002043, HMDB0031250, HMDB0033376, HMDB0033386, HMDB0033597, HMDB0035013, HMDB0036235, HMDB0036385, HMDB0037680, HMDB0038179, HMDB0040287, HMDB0040356, HMDB0040411, HMDB0040425, HMDB0040426, HMDB0040583, HMDB0041553, HMDB0126149, HMDB0126449, HMDB0132981, HMDB0133181, HMDB0133469, HMDB0133682, HMDB0133683, HMDB0133684, HMDB0133685, HMDB0133686, HMDB0133687"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H7NO","M+Na","168.0419456916638","0.727269","0.05","0.736892","0.988319","0.998606","1H-Indole-3-carboxaldehyde","HMDB0029737"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H8N2O","M+H","173.0709001056638","0.724931","0.05","0.736075","0.985327","0.999526","3-Acetyl-2,7-naphthyridine, 4-Hydroxy-1H-indole-3-acetonitrile","HMDB0037296, HMDB0038462"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C8H18O3","M+K","201.08871351366383","0.723058","0.1","0.741484","0.975822","0.999311","(3R,7R)-1,3,7-Octanetriol","HMDB0033625"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C13H8O5","M+H","245.0444105656638","0.716388","0.05","0.731272","0.981746","0.997861","Urolithin C, Gentisein, 3,8,10-trihydroxy-6H-benzo[c]chromen-6-one, 3,4,8-trihydroxy-6H-benzo[c]chromen-6-one, 1,3,8-trihydroxy-6H-benzo[c]chromen-6-one","HMDB0029218, HMDB0029463, HMDB0142399, HMDB0142400, HMDB0142401"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H16O2","M+Na","191.10421158966383","0.712381","0.05","0.723467","0.985565","0.999099","Ascaridole, Geranic acid, 4-Isopropyl-3-cyclohexene-1-carboxylic acid, 2,4-Hexadienyl butyrate, 2,4-Hexadienyl isobutyrate, cis-3-Hexenyl crotonate, (+/-)-2-(5-Methyl-5-vinyltetrahydrofuran-2-yl)propionaldehyde, trans-4,5-epoxy-2(E)-decenal, Ethyl (4Z)-4,7-octadienoate, Methyl octynecarboxylate, (+/-)-Dihydromintlactone, (-)-(Z)-Tetrahydro-6-(2-pentenyl)-2H-pyran-2-one, 5,6-Dihydro-6-pentyl-2H-pyran-2-one, 6-Hydroxy-2,6-dimethyl-2,7-octadien-4-one, Epoxyartemisia ketone, Dihydronepetalactone, Epoxycampholenic aldehyde, gamma-Diosphenol, xi-1,8,8-Trimethyl-2-oxabicyclo[3.2.1]octan-3-one, (xi)-(Z)-5-(3-Hexenyl)dihydro-2(3H)-furanone","HMDB0035766, HMDB0036103, HMDB0037175, HMDB0032312, HMDB0032313, HMDB0032319, HMDB0032434, HMDB0013105, HMDB0031156, HMDB0031273, HMDB0032219, HMDB0033700, HMDB0034452, HMDB0034670, HMDB0035714, HMDB0035829, HMDB0036067, HMDB0037014, HMDB0037821, HMDB0040639"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C17H19N3","M+Na","288.14707947566376","0.711386","0.05","0.727019","0.97962","0.998854","Mirtazapine, Antazoline","HMDB0014514, HMDB0015689"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C5H12NO7P","M+H","230.04237543366386","0.693561","0.05","0.704034","0.986296","0.998812","5-Phosphoribosylamine","HMDB0001128"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C11H8O2","M+H","173.05966670566383","0.692831","0.05","0.70622","0.983083","0.997923","Menadione, Methyl (Z)-2-decene-4,6,8-triynoate","HMDB0001892, HMDB0033765"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H8O2","M+H","161.0596667056638","0.691473","0.05","0.703959","0.984606","0.997622","6-Methylcoumarin, Viburtinal, 7-Methyl-2-benzofurancarboxaldehyde, Naphthalene-1,2-diol","HMDB0032394, HMDB0036073, HMDB0041009, HMDB0060497"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H10N2","M+H","183.0916355496638","0.690836","0.05","0.712224","0.970724","0.999223","Harman","HMDB0035196"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H12N2O","M+H","201.10220023366384","0.683914","0.05","0.698148","0.981174","0.998408","Harmalol","HMDB0029838"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H8O4","M+H","217.04949594566378","0.671298","0.05","0.686216","0.980695","0.997517","Methoxsalen, Bergapten, 4-hydroxy-7-methyl-5H-furo[2,3-g]isochromen-5-one","HMDB0014693, HMDB0030637, HMDB0138947"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C4H9N","M+H","72.08073650766524","0.664208","0.05","0.670242","0.992653","0.998333","Pyrrolidine","HMDB0031641"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C6H13O9P","M+Na","283.01890032366384","0.6377","0.05","0.648433","0.985948","0.997464","Fructose 6-phosphate, Myo-inositol 1-phosphate, Beta-D-Glucose 6-phosphate, Galactose 1-phosphate, Dolichyl phosphate D-mannose, Fructose 1-phosphate, Mannose 6-phosphate, D-Myo-inositol 4-phosphate, Glucose 6-phosphate, Glucose 1-phosphate, Inositol phosphate, Beta-D-Fructose 6-phosphate, D-Tagatose 1-phosphate, D-Mannose 1-phosphate, Sorbose 1-phosphate, Beta-D-Fructose 2-phosphate, 1D-myo-Inositol 3-phosphate, D-Tagatose 6-phosphate, D-fructose 1-phosphate, D-galactopyranose 1-phosphate","HMDB0000124, HMDB0000213, HMDB0003498, HMDB0000645, HMDB0000994, HMDB0001076, HMDB0001078, HMDB0001313, HMDB0001401, HMDB0001586, HMDB0002985, HMDB0003971, HMDB0006328, HMDB0006330, HMDB0006797, HMDB0006800, HMDB0006814, HMDB0006873, HMDB0060467, HMDB0062705"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H9NaO","M+H","193.0623467776638","0.627452","0.05","0.645122","0.973778","0.998801","Dowicide A","HMDB0040464"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H10O","M+Na","193.0623467776638","0.627452","0.05","0.645122","0.973778","0.998801","Methyl beta-naphthyl ketone, 2-Biphenylol, Diphenyl ether","HMDB0032412, HMDB0032582, HMDB0034446"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H6O2","M+H","147.04401664166383","0.620275","0.05","0.632485","0.982993","0.997663","Coumarin, Phenylpropiolic acid, Chromone, 2-Benzofurancarboxaldehyde","HMDB0001218, HMDB0002359, HMDB0032938, HMDB0033183"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C4H10O3","M+K","145.02611325766384","0.613565","0.1","0.627452","0.978639","0.999212","(2R*,3R*)-1,2,3-Butanetriol, Trihydroxybutane","HMDB0034778, HMDB0061944"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H14N2","M+Na","209.10488030566387","0.609325","0.05","0.625804","0.975198","0.998431","1,2,3,4-Tetrahydro-2-methyl-b-carboline, 1-Phenyl-5-propyl-1H-pyrazole, Detomidine","HMDB0029836, HMDB0037144, HMDB0041872"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H14O2","M+K","193.06249876566383","0.606808","0.1","0.625985","0.970528","0.998801","2,4-Hexadienyl propionate, Methyl 2-octynoate, 2-Nonenoic acid gamma-lactone, (E)-2,6-Dimethyl-2,5-heptadienoic acid, 3,5,5-Trimethyl-1,2-cyclohexanedione, Octahydro-2H-1-benzopyran-2-one, Allyl hexenoate, xi-2,2,6-Trimethyl-1,4-cyclohexanedione, Anapear, 4-Oxo-2-nonenal","HMDB0032314, HMDB0031302, HMDB0032442, HMDB0035135, HMDB0036177, HMDB0037276, HMDB0038268, HMDB0038697, HMDB0040285, HMDB0060285"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C5H5N5","M+H","136.0617324196638","0.603203","0.05","0.614137","0.985611","0.996535","Adenine","HMDB0000034"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H16O2","M+K","207.07814882966383","0.58966","0.1","0.606558","0.97346","0.998646","Ascaridole, Geranic acid, 4-Isopropyl-3-cyclohexene-1-carboxylic acid, 2,4-Hexadienyl butyrate, 2,4-Hexadienyl isobutyrate, cis-3-Hexenyl crotonate, (+/-)-2-(5-Methyl-5-vinyltetrahydrofuran-2-yl)propionaldehyde, trans-4,5-epoxy-2(E)-decenal, Ethyl (4Z)-4,7-octadienoate, Methyl octynecarboxylate, (+/-)-Dihydromintlactone, (-)-(Z)-Tetrahydro-6-(2-pentenyl)-2H-pyran-2-one, 5,6-Dihydro-6-pentyl-2H-pyran-2-one, 6-Hydroxy-2,6-dimethyl-2,7-octadien-4-one, Epoxyartemisia ketone, Dihydronepetalactone, Epoxycampholenic aldehyde, gamma-Diosphenol, xi-1,8,8-Trimethyl-2-oxabicyclo[3.2.1]octan-3-one, (xi)-(Z)-5-(3-Hexenyl)dihydro-2(3H)-furanone","HMDB0035766, HMDB0036103, HMDB0037175, HMDB0032312, HMDB0032313, HMDB0032319, HMDB0032434, HMDB0013105, HMDB0031156, HMDB0031273, HMDB0032219, HMDB0033700, HMDB0034452, HMDB0034670, HMDB0035714, HMDB0035829, HMDB0036067, HMDB0037014, HMDB0037821, HMDB0040639"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H14O2","M+Na","177.08856152566383","0.579187","0.05","0.59012","0.982591","0.998863","2,4-Hexadienyl propionate, Methyl 2-octynoate, 2-Nonenoic acid gamma-lactone, (E)-2,6-Dimethyl-2,5-heptadienoic acid, 3,5,5-Trimethyl-1,2-cyclohexanedione, Octahydro-2H-1-benzopyran-2-one, Allyl hexenoate, xi-2,2,6-Trimethyl-1,4-cyclohexanedione, Anapear, 4-Oxo-2-nonenal","HMDB0032314, HMDB0031302, HMDB0032442, HMDB0035135, HMDB0036177, HMDB0037276, HMDB0038268, HMDB0038697, HMDB0040285, HMDB0060285"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C7H6O4","M+Na","177.0157905096638","0.577412","0.05","0.586901","0.98607","0.997732","Protocatechuic acid, Gentisic acid, 2-Pyrocatechuic acid, 2,6-Dihydroxybenzoic acid, 3,5-Dihydroxybenzoic acid, 2,4-Dihydroxybenzoic acid, Patulin, 2,4,6-trihydroxybenzaldehyde","HMDB0001856, HMDB0000152, HMDB0000397, HMDB0013676, HMDB0013677, HMDB0029666, HMDB0034299, HMDB0125090"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H7NO","M+K","184.01588293166384","0.570488","0.1","0.589978","0.968324","0.998597","1H-Indole-3-carboxaldehyde","HMDB0029737"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C6H14O3","M+K","173.05741338566384","0.559068","0.1","0.575093","0.973092","0.999017","Polypropylene glycol (m w 1,200-3,000)","HMDB0032478"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H8S","M+K","198.99779006366384","0.549276","0.1","0.568976","0.966614","0.998719","2-Naphthalenethiol","HMDB0029689"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C13H8F2O3","M+Na","273.0333323536638","0.536667","0.05","0.558569","0.961633","0.999123","Diflunisal","HMDB0014999"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C7H6O2","M+Na","145.02596126966384","0.534859","0.05","0.544938","0.982307","0.999183","3-(2-Furanyl)-2-propenal, Benzoic acid, 4-Hydroxybenzaldehyde, 2-Hydroxybenzaldehyde","HMDB0032918, HMDB0001870, HMDB0011718, HMDB0034170"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C14H17NO6","M+H","296.11282448366387","0.532203","0.05","0.543669","0.98002","0.998868","Prunasin, Sambunigrin, Prulaurasin, (S)-2-Hydroxy-2-phenylacetonitrile O-b-D-allopyranoside","HMDB0034934, HMDB0034981, HMDB0035022, HMDB0039961"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C7H11NO4","M+K","212.0319269196638","0.526607","0.1","0.543369","0.969869","0.999261","N-Acetyl-L-glutamate 5-semialdehyde","HMDB0006488"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H8N2O2","M+H","189.06581472566384","0.520597","0.05","0.535799","0.972563","0.999038","(-)-3-Cyanomethyl-3-hydroxy-1H-indol-2(3H)-one","HMDB0038633"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C11H9N","M+H","156.08073650766386","0.520357","0.05","0.523042","0.996197","0.998665","4-Phenylpyridine","HMDB0033123"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C8H18O3","M+Na","185.1147762736638","0.517222","0.05","0.583965","0.886548","0.999053","(3R,7R)-1,3,7-Octanetriol","HMDB0033625"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H8O4","M+Na","239.0314405736638","0.515098","0.05","0.530113","0.974402","0.997203","Methoxsalen, Bergapten, 4-hydroxy-7-methyl-5H-furo[2,3-g]isochromen-5-one","HMDB0014693, HMDB0030637, HMDB0138947"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H10O2","M+Na","173.05726139766384","0.51477","0.05","0.530511","0.971783","0.998503","1-Phenylethyl formate, o-Tolyl acetate, p-Tolyl acetate, 2'-Methoxyacetophenone, 4'-Methoxyacetophenone, 2'-Hydroxy-5'-methylacetophenone, Methyl phenylacetate, 4-Ethylbenzoic acid, Hydrocinnamic acid, 3-Methylphenylacetic acid, 3,4-Dimethylbenzoic acid, 4-Coumaryl alcohol, 2-Methoxy-4-vinylphenol, 2-Phenylpropionate, Benzyl acetate, Ethyl benzoate, 4-Ethoxybenzaldehyde, 2-Ethyl-4-(2-furanyl)-2-propenal, 2-Phenylethyl formate, 2-(2-Furanyl)-3-methyl-2-butenal, 4-Hydroxy-3-methylacetophenone, 3'-carboxy-alpha-chromanol, 3-ethenyl-5-methoxyphenol, 3-(2-hydroxyphenyl)propanal, 2-(3-hydroxyprop-1-en-1-yl)phenol, 4-(prop-2-en-1-yl)benzene-1,2-diol, 2-hydroxy-3-phenylpropanal, 3-hydroxy-3-phenylpropanal, 3-(3-hydroxyphenyl)propanal, 3-(4-hydroxyphenyl)propanal, 3-[(1E)-3-hydroxyprop-1-en-1-yl]phenol, (3-phenyloxiran-2-yl)methanol, 4-(3-hydroxyprop-1-en-1-yl)phenol","HMDB0037715, HMDB0032073, HMDB0032075, HMDB0032569, HMDB0032570, HMDB0032592, HMDB0032617, HMDB0002097, HMDB0000764, HMDB0002222, HMDB0002237, HMDB0003654, HMDB0013744, HMDB0011743, HMDB0031310, HMDB0033967, HMDB0033970, HMDB0038355, HMDB0040428, HMDB0040925, HMDB0059824, HMDB0062349, HMDB0125532, HMDB0134026, HMDB0134027, HMDB0135239, HMDB0135276, HMDB0135277, HMDB0135278, HMDB0135279, HMDB0135280, HMDB0135281, HMDB0135644"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C13H16N2","M+H","201.13858574166386","0.506494","0.05","0.522785","0.971029","0.997744","Dexmedetomidine","HMDB0014771"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C4H11N","M+H","74.09638657166525","0.49104","0.05","0.496148","0.991096","0.998596","sec-Butylamine, 1-Butylamine, 2-Methyl-1-propylamine, Diethylamine, 2-methylpropan-2-amine","HMDB0032179, HMDB0031321, HMDB0034198, HMDB0041878, HMDB0143690"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C14H12O","M+H","197.09605221366382","0.4798","0.05","0.499473","0.966618","0.993787","Cis-stilbene oxide","HMDB0059631"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C8H18O5","M+Na","217.1046055136638","0.478214","0.05","0.488556","0.97982","0.998992","Tetraethylene glycol","HMDB0094708"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C11H8O3","M+H","189.0545813256638","0.450041","0.05","0.463099","0.974424","0.99731","Isoplumbagin","HMDB0035291"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C14H12O2","M+Na","235.07291146166384","0.443203","0.05","0.464444","0.963984","0.989919","Benzoin, Benzyl Benzoate","HMDB0032039, HMDB0014814"
